("deg_690", "mat_40")	Trial(11.719 s)
("deg_730", "mat_30")	Trial(8.955 s)
("deg_990", "mat_20")	Trial(8.904 s)
("deg_80", "mat_20")	Trial(598.858 ms)
("deg_480", "mat_10")	Trial(2.142 s)
("deg_410", "mat_30")	Trial(4.908 s)
("deg_170", "mat_10")	Trial(691.557 ms)
("deg_850", "mat_30")	Trial(10.696 s)
("deg_0", "mat_10")	Trial(43.184 ms)
("deg_440", "mat_10")	Trial(1.936 s)
("deg_110", "mat_30")	Trial(1.227 s)
("deg_170", "mat_40")	Trial(2.612 s)
("deg_950", "mat_40")	Trial(16.150 s)
("deg_920", "mat_40")	Trial(15.644 s)
("deg_30", "mat_40")	Trial(458.059 ms)
("deg_260", "mat_30")	Trial(2.989 s)
("deg_180", "mat_40")	Trial(2.767 s)
("deg_310", "mat_40")	Trial(5.017 s)
("deg_420", "mat_10")	Trial(1.856 s)
("deg_520", "mat_20")	Trial(4.423 s)
("deg_590", "mat_40")	Trial(9.900 s)
("deg_750", "mat_40")	Trial(12.983 s)
("deg_160", "mat_30")	Trial(1.788 s)
("deg_340", "mat_30")	Trial(3.997 s)
("deg_780", "mat_30")	Trial(10.246 s)
("deg_450", "mat_20")	Trial(3.671 s)
("deg_540", "mat_10")	Trial(2.295 s)
("deg_320", "mat_40")	Trial(5.169 s)
("deg_720", "mat_10")	Trial(3.116 s)
("deg_840", "mat_10")	Trial(3.767 s)
("deg_510", "mat_10")	Trial(2.142 s)
("deg_480", "mat_20")	Trial(4.008 s)
("deg_920", "mat_20")	Trial(8.147 s)
("deg_880", "mat_20")	Trial(7.731 s)
("deg_70", "mat_20")	Trial(473.357 ms)
("deg_670", "mat_10")	Trial(3.058 s)
("deg_190", "mat_30")	Trial(2.166 s)
("deg_210", "mat_40")	Trial(3.264 s)
("deg_90", "mat_10")	Trial(332.271 ms)
("deg_200", "mat_30")	Trial(2.139 s)
("deg_650", "mat_20")	Trial(5.553 s)
("deg_750", "mat_10")	Trial(3.440 s)
("deg_280", "mat_30")	Trial(3.240 s)
("deg_470", "mat_40")	Trial(7.734 s)
("deg_500", "mat_20")	Trial(3.925 s)
("deg_10", "mat_30")	Trial(300.141 ms)
("deg_330", "mat_40")	Trial(5.267 s)
("deg_950", "mat_30")	Trial(12.322 s)
("deg_770", "mat_20")	Trial(6.794 s)
("deg_660", "mat_30")	Trial(8.509 s)
("deg_330", "mat_10")	Trial(1.413 s)
("deg_70", "mat_10")	Trial(245.183 ms)
("deg_660", "mat_40")	Trial(10.744 s)
("deg_590", "mat_10")	Trial(2.652 s)
("deg_310", "mat_30")	Trial(3.571 s)
